egl-wayland 4:1.1.18-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
electron33 33.4.3-1
electron34 34.3.2-1
elementary-icon-theme 8.1.0-1
elfutils 0.192-4
elisa 24.12.3-1
ell 0.74-1
enchant 2.8.2-2
endeavouros-branding 25.02.1.2-1
endeavouros-keyring 20231222-1
endeavouros-mirrorlist 25.3-1
eos-apps-info 24.8.2-1
eos-bash-shared 25.3.2-1
eos-dracut 1.5-1
eos-hooks 1.16-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 25-1
eos-packagelist 2.3.1-2
eos-qogir-icons 6-1
eos-quickstart 1.4.1-1
eos-rankmirrors 25.3-1
eos-settings-cinnamon 2.2-1
eos-translations 25.3.0-1
epapirus-icon-theme 20250201-1
epiphany 47.4-1
ethtool 1:6.11-1
evince 46.3.1-2
evolution-data-server 3.54.3-5
exempi 2.6.5-1
exfatprogs 1.2.8-1
exiv2 0.28.5-1
exo 4.20.0-2
expac 10-11
expat 2.7.0-1
extra-cmake-modules 6.12.0-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1-1
fastfetch 2.39.1-1
fcitx5 5.1.12-1
fd 10.2.0-1
ffmpeg 2:7.1-7
ffmpeg4.4 4.4.5-3
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.12.3-1
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-3
file-roller 44.5-1
filelight 24.12.3-1
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 136.0.2-1
firefox-i18n-ja 136.0.2-1
firewalld 2.3.0-2
fish 4.0.1-2
flac 1.5.0-1
flashrom 1.5.1-1
flatpak 1:1.16.0-1
flex 2.6.4-5
fluidsynth 2.4.3-1
folks 0.15.9-1
fontconfig 2:2.16.1-1
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-1
foomatic-db-gutenprint-ppds 5.3.5-1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
fortune-mod 3.22.0-1
frameworkintegration 6.12.0-1
frameworkintegration5 5.116.0-1
freeglut 3.6.0-1
freerdp 2:3.14.0-1
freerdp2 2.11.7-3
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.6-1
fwupd-efi 1.7-1
fzf 0.60.3-1
galculator 2.1.4-10
garcon 4.20.0-2
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-fortran 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.3.1-1
gd 2.3.3-8
gdb 16.2-1
gdb-common 16.2-1
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.24-1
ghostscript 10.05.0-1
giflib 5.2.2-1
git 2.49.0-1
gjs 2:1.82.1-2
glances 4.3.0.8-2
glew 2.2.0-7
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glib2-docs 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibc-locales 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glibmm-2.68 2.84.0-1
glslang 15.1.0-1
glu 9.0.3-2
glycin 1.1.6-1
gmp 6.3.0-2
gn 0.2207.ed1abc10-1
gnome-app-list 1.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-calculator 47.1-1
gnome-calendar 47.0-1
gnome-characters 47.0-1
gnome-chess 48.0-1
gnome-clocks 47.0-1
gnome-color-manager 3.36.2-1
gnome-connections 47.2.1-1
gnome-console 47.2-1
gnome-contacts 47.1.1-1
gnome-control-center 47.4-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-font-viewer 47.0-1
gnome-keybindings 47.4-1
gnome-keyring 1:46.2-1
gnome-logs 45.0-1
gnome-maps 47.5-1
gnome-menus 3.36.0-3
gnome-music 1:47.1-2
gnome-online-accounts 3.52.5-1
gnome-pie 0.7.3-2
gnome-remote-desktop 47.3-1
gnome-screenshot 41.0+r39+ga362197-3
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.5-1
gnome-shell-extensions 47.4-1
gnome-software 47.5-1
gnome-system-monitor 47.1-1
